jan_rev,feb_rev,mar_rev
1111490,222601,333712
1111491,222602,333713
1111492,222603,333714
1111493,222604,333715
1111494,222605,333716
1111495,222606,333717
1111496,222607,333718
1111497,222608,333719
1111498,222609,333720
1111499,222610,333721
1111500,222611,333722
1111501,222612,333723
1111502,222613,333724
1111503,222614,333725
1111504,222615,333726
1111505,222616,333727
1111506,222617,333728
1111507,222618,333729
1111508,222619,333730
1111509,222620,333731
1111510,222621,333732
1111511,222622,333733
1111512,222623,333734
1111513,222624,333735
1111514,222625,333736
1111515,222626,333737
1111516,222627,333738
1111517,222628,333739
1111518,222629,333740
1111519,222630,333741
1111520,222631,333742
1111521,222632,333743
1111522,222633,333744
1111523,222634,333745
1111524,222635,333746
1111525,222636,333747
1111526,222637,333748
1111527,222638,333749
1111528,222639,333750
1111529,222640,333751
1111530,222641,333752
1111531,222642,333753
1111532,222643,333754
1111533,222644,333755
1111534,222645,333756
1111535,222646,333757
1111536,222647,333758
1111537,222648,333759
1111538,222649,333760
1111539,222650,333761
1111540,222651,333762
1111541,222652,333763
1111542,222653,333764
1111543,222654,333765
1111544,222655,333766
1111545,222656,333767
1111546,222657,333768
1111547,222658,333769
1111548,222659,333770
1111549,222660,333771
1111550,222661,333772
1111551,222662,333773
1111552,222663,333774
1111553,222664,333775
1111554,222665,333776
1111555,222666,333777
1111556,222667,333778
1111557,222668,333779
1111558,222669,333780
1111559,222670,333781
1111560,222671,333782
1111561,222672,333783
1111562,222673,333784
1111563,222674,333785
1111564,222675,333786
1111565,222676,333787
1111566,222677,333788
1111567,222678,333789
1111568,222679,333790
1111569,222680,333791
1111570,222681,333792
1111571,222682,333793
1111572,222683,333794
1111573,222684,333795
1111574,222685,333796
1111575,222686,333797
1111576,222687,333798
1111577,222688,333799
1111578,222689,333800
1111579,222690,333801
1111580,222691,333802
1111581,222692,333803
1111582,222693,333804
1111583,222694,333805
1111584,222695,333806
1111585,222696,333807
1111586,222697,333808
1111587,222698,333809
1111588,222699,333810
1111589,222700,333811
1111590,222701,333812
1111591,222702,333813
1111592,222703,333814
1111593,222704,333815
1111594,222705,333816
1111595,222706,333817
1111596,222707,333818
1111597,222708,333819
1111598,222709,333820
1111599,222710,333821
1111600,222711,333822
1111601,222712,333823
1111602,222713,333824
1111603,222714,333825
1111604,222715,333826
1111605,222716,333827
1111606,222717,333828
1111607,222718,333829
1111608,222719,333830
1111609,222720,333831
1111610,222721,333832
1111611,222722,333833
1111612,222723,333834
1111613,222724,333835
1111614,222725,333836
1111615,222726,333837
1111616,222727,333838
1111617,222728,333839
1111618,222729,333840
1111619,222730,333841
1111620,222731,333842
1111621,222732,333843
1111622,222733,333844
1111623,222734,333845
1111624,222735,333846
1111625,222736,333847
1111626,222737,333848
1111627,222738,333849
1111628,222739,333850
1111629,222740,333851
1111630,222741,333852
1111631,222742,333853
1111632,222743,333854
1111633,222744,333855
1111634,222745,333856
1111635,222746,333857
1111636,222747,333858
1111637,222748,333859
1111638,222749,333860
1111639,222750,333861
1111640,222751,333862
1111641,222752,333863
1111642,222753,333864
1111643,222754,333865
1111644,222755,333866
1111645,222756,333867
1111646,222757,333868
1111647,222758,333869
1111648,222759,333870
1111649,222760,333871
1111650,222761,333872
1111651,222762,333873
1111652,222763,333874
1111653,222764,333875
1111654,222765,333876
1111655,222766,333877
1111656,222767,333878
1111657,222768,333879
1111658,222769,333880
1111659,222770,333881
1111660,222771,333882
1111661,222772,333883
1111662,222773,333884
1111663,222774,333885
1111664,222775,333886
1111665,222776,333887
1111666,222777,333888
1111667,222778,333889
1111668,222779,333890
1111669,222780,333891
1111670,222781,333892
1111671,222782,333893
1111672,222783,333894
1111673,222784,333895
1111674,222785,333896
1111675,222786,333897
1111676,222787,333898
1111677,222788,333899
1111678,222789,333900
1111679,222790,333901
1111680,222791,333902
1111681,222792,333903
1111682,222793,333904
1111683,222794,333905
1111684,222795,333906
1111685,222796,333907
1111686,222797,333908
1111687,222798,333909
1111688,222799,333910
1111689,222800,333911
1111690,222801,333912
1111691,222802,333913
1111692,222803,333914
1111693,222804,333915
1111694,222805,333916
1111695,222806,333917
1111696,222807,333918
1111697,222808,333919
1111698,222809,333920
1111699,222810,333921
1111700,222811,333922
1111701,222812,333923
1111702,222813,333924
1111703,222814,333925
1111704,222815,333926
1111705,222816,333927
1111706,222817,333928
1111707,222818,333929
1111708,222819,333930
1111709,222820,333931
1111710,222821,333932
1111711,222822,333933
1111712,222823,333934
1111713,222824,333935
1111714,222825,333936
1111715,222826,333937
1111716,222827,333938
1111717,222828,333939
1111718,222829,333940
1111719,222830,333941
1111720,222831,333942
1111721,222832,333943
1111722,222833,333944
1111723,222834,333945
1111724,222835,333946
1111725,222836,333947
1111726,222837,333948
1111727,222838,333949
1111728,222839,333950
1111729,222840,333951
1111730,222841,333952
1111731,222842,333953
1111732,222843,333954
1111733,222844,333955
1111734,222845,333956
1111735,222846,333957
1111736,222847,333958
1111737,222848,333959
1111738,222849,333960
1111739,222850,333961
1111740,222851,333962
1111741,222852,333963
1111742,222853,333964
1111743,222854,333965
1111744,222855,333966
1111745,222856,333967
1111746,222857,333968
1111747,222858,333969
1111748,222859,333970
1111749,222860,333971
1111750,222861,333972
1111751,222862,333973
1111752,222863,333974
1111753,222864,333975
1111754,222865,333976
1111755,222866,333977
1111756,222867,333978
1111757,222868,333979
1111758,222869,333980
1111759,222870,333981
1111760,222871,333982
1111761,222872,333983
1111762,222873,333984
1111763,222874,333985
1111764,222875,333986
1111765,222876,333987
1111766,222877,333988
1111767,222878,333989
1111768,222879,333990
1111769,222880,333991
1111770,222881,333992
1111771,222882,333993
1111772,222883,333994
1111773,222884,333995
1111774,222885,333996
1111775,222886,333997
1111776,222887,333998
1111777,222888,333999
1111778,222889,334000
1111779,222890,334001
1111780,222891,334002
1111781,222892,334003
1111782,222893,334004
1111783,222894,334005
1111784,222895,334006
1111785,222896,334007
1111786,222897,334008
1111787,222898,334009
1111788,222899,334010
1111789,222900,334011
1111790,222901,334012
1111791,222902,334013
1111792,222903,334014
1111793,222904,334015
1111794,222905,334016
1111795,222906,334017
1111796,222907,334018
1111797,222908,334019
1111798,222909,334020
1111799,222910,334021
1111800,222911,334022
1111801,222912,334023
1111802,222913,334024
1111803,222914,334025
1111804,222915,334026
1111805,222916,334027
1111806,222917,334028
1111807,222918,334029
1111808,222919,334030
1111809,222920,334031
1111810,222921,334032
1111811,222922,334033
1111812,222923,334034
1111813,222924,334035
1111814,222925,334036
1111815,222926,334037
1111816,222927,334038
1111817,222928,334039
1111818,222929,334040
1111819,222930,334041
1111820,222931,334042
1111821,222932,334043
1111822,222933,334044
1111823,222934,334045
1111824,222935,334046
1111825,222936,334047
1111826,222937,334048
1111827,222938,334049
1111828,222939,334050
1111829,222940,334051
1111830,222941,334052
1111831,222942,334053
1111832,222943,334054
1111833,222944,334055
1111834,222945,334056
1111835,222946,334057
1111836,222947,334058
1111837,222948,334059
1111838,222949,334060
1111839,222950,334061
1111840,222951,334062
1111841,222952,334063
1111842,222953,334064
1111843,222954,334065
1111844,222955,334066
1111845,222956,334067
1111846,222957,334068
1111847,222958,334069
1111848,222959,334070
1111849,222960,334071
1111850,222961,334072
1111851,222962,334073
1111852,222963,334074
1111853,222964,334075
1111854,222965,334076
1111855,222966,334077
1111856,222967,334078
1111857,222968,334079
1111858,222969,334080
1111859,222970,334081
1111860,222971,334082
1111861,222972,334083
1111862,222973,334084
1111863,222974,334085
1111864,222975,334086
1111865,222976,334087
1111866,222977,334088
1111867,222978,334089
1111868,222979,334090
1111869,222980,334091
1111870,222981,334092
1111871,222982,334093
1111872,222983,334094
1111873,222984,334095
1111874,222985,334096
1111875,222986,334097
1111876,222987,334098
1111877,222988,334099
1111878,222989,334100
1111879,222990,334101
1111880,222991,334102
1111881,222992,334103
1111882,222993,334104
1111883,222994,334105
1111884,222995,334106
1111885,222996,334107
1111886,222997,334108
1111887,222998,334109
1111888,222999,334110
1111889,223000,334111
1111890,223001,334112
1111891,223002,334113
1111892,223003,334114
1111893,223004,334115
1111894,223005,334116
1111895,223006,334117
1111896,223007,334118
1111897,223008,334119
1111898,223009,334120
1111899,223010,334121
1111900,223011,334122
1111901,223012,334123
1111902,223013,334124
1111903,223014,334125
1111904,223015,334126
1111905,223016,334127
1111906,223017,334128
1111907,223018,334129
1111908,223019,334130
1111909,223020,334131
1111910,223021,334132
1111911,223022,334133
1111912,223023,334134
1111913,223024,334135
1111914,223025,334136
1111915,223026,334137
1111916,223027,334138
1111917,223028,334139
1111918,223029,334140
1111919,223030,334141
1111920,223031,334142
1111921,223032,334143
1111922,223033,334144
1111923,223034,334145
1111924,223035,334146
1111925,223036,334147
1111926,223037,334148
1111927,223038,334149
1111928,223039,334150
1111929,223040,334151
1111930,223041,334152
1111931,223042,334153
1111932,223043,334154
1111933,223044,334155
1111934,223045,334156
1111935,223046,334157
1111936,223047,334158
1111937,223048,334159
1111938,223049,334160
1111939,223050,334161
1111940,223051,334162
1111941,223052,334163
1111942,223053,334164
1111943,223054,334165
1111944,223055,334166
1111945,223056,334167
1111946,223057,334168
1111947,223058,334169
1111948,223059,334170
1111949,223060,334171
1111950,223061,334172
1111951,223062,334173
1111952,223063,334174
1111953,223064,334175
1111954,223065,334176
1111955,223066,334177
1111956,223067,334178
1111957,223068,334179
1111958,223069,334180
1111959,223070,334181
1111960,223071,334182
1111961,223072,334183
1111962,223073,334184
1111963,223074,334185
1111964,223075,334186
1111965,223076,334187
1111966,223077,334188
1111967,223078,334189
1111968,223079,334190
1111969,223080,334191
1111970,223081,334192
1111971,223082,334193
1111972,223083,334194
1111973,223084,334195
1111974,223085,334196
1111975,223086,334197
1111976,223087,334198
1111977,223088,334199
1111978,223089,334200
1111979,223090,334201
1111980,223091,334202
1111981,223092,334203
1111982,223093,334204
1111983,223094,334205
1111984,223095,334206
1111985,223096,334207
1111986,223097,334208
1111987,223098,334209
1111988,223099,334210
1111989,223100,334211
1111990,223101,334212
1111991,223102,334213
1111992,223103,334214
1111993,223104,334215
1111994,223105,334216
1111995,223106,334217
1111996,223107,334218
1111997,223108,334219
1111998,223109,334220
1111999,223110,334221
1112000,223111,334222
1112001,223112,334223
1112002,223113,334224
1112003,223114,334225
1112004,223115,334226
1112005,223116,334227
1112006,223117,334228
1112007,223118,334229
1112008,223119,334230
1112009,223120,334231
1112010,223121,334232
1112011,223122,334233
1112012,223123,334234
1112013,223124,334235
1112014,223125,334236
1112015,223126,334237
1112016,223127,334238
1112017,223128,334239
1112018,223129,334240
1112019,223130,334241
1112020,223131,334242
1112021,223132,334243
1112022,223133,334244
1112023,223134,334245
1112024,223135,334246
1112025,223136,334247
1112026,223137,334248
1112027,223138,334249
1112028,223139,334250
1112029,223140,334251
1112030,223141,334252
1112031,223142,334253
1112032,223143,334254
1112033,223144,334255
1112034,223145,334256
1112035,223146,334257
1112036,223147,334258
1112037,223148,334259
1112038,223149,334260
1112039,223150,334261
1112040,223151,334262
1112041,223152,334263
1112042,223153,334264
1112043,223154,334265
1112044,223155,334266
1112045,223156,334267
1112046,223157,334268
1112047,223158,334269
1112048,223159,334270
1112049,223160,334271
1112050,223161,334272
1112051,223162,334273
1112052,223163,334274
1112053,223164,334275
1112054,223165,334276
1112055,223166,334277
1112056,223167,334278
1112057,223168,334279
1112058,223169,334280
1112059,223170,334281
1112060,223171,334282
1112061,223172,334283
1112062,223173,334284
1112063,223174,334285
1112064,223175,334286
1112065,223176,334287
1112066,223177,334288
1112067,223178,334289
1112068,223179,334290
1112069,223180,334291
1112070,223181,334292
1112071,223182,334293
1112072,223183,334294
1112073,223184,334295
1112074,223185,334296
1112075,223186,334297
1112076,223187,334298
1112077,223188,334299
1112078,223189,334300
1112079,223190,334301
1112080,223191,334302
1112081,223192,334303
1112082,223193,334304
1112083,223194,334305
1112084,223195,334306
1112085,223196,334307
1112086,223197,334308
1112087,223198,334309
1112088,223199,334310
1112089,223200,334311
1112090,223201,334312
1112091,223202,334313
1112092,223203,334314
1112093,223204,334315
1112094,223205,334316
1112095,223206,334317
1112096,223207,334318
1112097,223208,334319
1112098,223209,334320
1112099,223210,334321
1112100,223211,334322
1112101,223212,334323
1112102,223213,334324
1112103,223214,334325
1112104,223215,334326
1112105,223216,334327
1112106,223217,334328
1112107,223218,334329
1112108,223219,334330
1112109,223220,334331
1112110,223221,334332
1112111,223222,334333
1112112,223223,334334
1112113,223224,334335
1112114,223225,334336
1112115,223226,334337
1112116,223227,334338
1112117,223228,334339
1112118,223229,334340
1112119,223230,334341
1112120,223231,334342
1112121,223232,334343
1112122,223233,334344
1112123,223234,334345
1112124,223235,334346
1112125,223236,334347
1112126,223237,334348
1112127,223238,334349
1112128,223239,334350
1112129,223240,334351
1112130,223241,334352
1112131,223242,334353
1112132,223243,334354
1112133,223244,334355
1112134,223245,334356
1112135,223246,334357
1112136,223247,334358
1112137,223248,334359
1112138,223249,334360
1112139,223250,334361
1112140,223251,334362
1112141,223252,334363
1112142,223253,334364
1112143,223254,334365
1112144,223255,334366
1112145,223256,334367
1112146,223257,334368
1112147,223258,334369
1112148,223259,334370
1112149,223260,334371
1112150,223261,334372
1112151,223262,334373
1112152,223263,334374
1112153,223264,334375
1112154,223265,334376
1112155,223266,334377
1112156,223267,334378
1112157,223268,334379
1112158,223269,334380
1112159,223270,334381
1112160,223271,334382
1112161,223272,334383
1112162,223273,334384
1112163,223274,334385
1112164,223275,334386
1112165,223276,334387
1112166,223277,334388
1112167,223278,334389
1112168,223279,334390
1112169,223280,334391
1112170,223281,334392
1112171,223282,334393
1112172,223283,334394
1112173,223284,334395
1112174,223285,334396
1112175,223286,334397
1112176,223287,334398
1112177,223288,334399
1112178,223289,334400
1112179,223290,334401
1112180,223291,334402
1112181,223292,334403
1112182,223293,334404
1112183,223294,334405
1112184,223295,334406
1112185,223296,334407
1112186,223297,334408
1112187,223298,334409
1112188,223299,334410
1112189,223300,334411
1112190,223301,334412
1112191,223302,334413
1112192,223303,334414
1112193,223304,334415
1112194,223305,334416
1112195,223306,334417
1112196,223307,334418
1112197,223308,334419
1112198,223309,334420
1112199,223310,334421
1112200,223311,334422
1112201,223312,334423
1112202,223313,334424
1112203,223314,334425
1112204,223315,334426
1112205,223316,334427
1112206,223317,334428
1112207,223318,334429
1112208,223319,334430
1112209,223320,334431
1112210,223321,334432
1112211,223322,334433
1112212,223323,334434
1112213,223324,334435
1112214,223325,334436
1112215,223326,334437
1112216,223327,334438
1112217,223328,334439
1112218,223329,334440
1112219,223330,334441
1112220,223331,334442
1112221,223332,334443
1112222,223333,334444
1112223,223334,334445
1112224,223335,334446
1112225,223336,334447
1112226,223337,334448
1112227,223338,334449
1112228,223339,334450
1112229,223340,334451
1112230,223341,334452
1112231,223342,334453
1112232,223343,334454
1112233,223344,334455
1112234,223345,334456
1112235,223346,334457
1112236,223347,334458
1112237,223348,334459
1112238,223349,334460
1112239,223350,334461
1112240,223351,334462
1112241,223352,334463
1112242,223353,334464
1112243,223354,334465
1112244,223355,334466
1112245,223356,334467
1112246,223357,334468
1112247,223358,334469
1112248,223359,334470
1112249,223360,334471
1112250,223361,334472
1112251,223362,334473
1112252,223363,334474
1112253,223364,334475
1112254,223365,334476
1112255,223366,334477
1112256,223367,334478
1112257,223368,334479
1112258,223369,334480
1112259,223370,334481
1112260,223371,334482
1112261,223372,334483
1112262,223373,334484
1112263,223374,334485
1112264,223375,334486
1112265,223376,334487
1112266,223377,334488
1112267,223378,334489
1112268,223379,334490
1112269,223380,334491
1112270,223381,334492
1112271,223382,334493
1112272,223383,334494
1112273,223384,334495
1112274,223385,334496
1112275,223386,334497
1112276,223387,334498
1112277,223388,334499
1112278,223389,334500
1112279,223390,334501
1112280,223391,334502
1112281,223392,334503
1112282,223393,334504
1112283,223394,334505
1112284,223395,334506
1112285,223396,334507
1112286,223397,334508
1112287,223398,334509
1112288,223399,334510
1112289,223400,334511
1112290,223401,334512
1112291,223402,334513
1112292,223403,334514
1112293,223404,334515
1112294,223405,334516
1112295,223406,334517
1112296,223407,334518
1112297,223408,334519
1112298,223409,334520
1112299,223410,334521
1112300,223411,334522
1112301,223412,334523
1112302,223413,334524
1112303,223414,334525
1112304,223415,334526
1112305,223416,334527
1112306,223417,334528
1112307,223418,334529
1112308,223419,334530
1112309,223420,334531
1112310,223421,334532
1112311,223422,334533
1112312,223423,334534
1112313,223424,334535
1112314,223425,334536
1112315,223426,334537
1112316,223427,334538
1112317,223428,334539
1112318,223429,334540
1112319,223430,334541
1112320,223431,334542
1112321,223432,334543
1112322,223433,334544
1112323,223434,334545
1112324,223435,334546
1112325,223436,334547
1112326,223437,334548
1112327,223438,334549
1112328,223439,334550
1112329,223440,334551
1112330,223441,334552
1112331,223442,334553
1112332,223443,334554
1112333,223444,334555
1112334,223445,334556
1112335,223446,334557
1112336,223447,334558
1112337,223448,334559
1112338,223449,334560
1112339,223450,334561
1112340,223451,334562
1112341,223452,334563
1112342,223453,334564
1112343,223454,334565
1112344,223455,334566
1112345,223456,334567
1112346,223457,334568
1112347,223458,334569
1112348,223459,334570
1112349,223460,334571
1112350,223461,334572
1112351,223462,334573
1112352,223463,334574
1112353,223464,334575
1112354,223465,334576
1112355,223466,334577
1112356,223467,334578
1112357,223468,334579
1112358,223469,334580
1112359,223470,334581
1112360,223471,334582
1112361,223472,334583
1112362,223473,334584
1112363,223474,334585
1112364,223475,334586
1112365,223476,334587
1112366,223477,334588
1112367,223478,334589
1112368,223479,334590
1112369,223480,334591
1112370,223481,334592
1112371,223482,334593
1112372,223483,334594
1112373,223484,334595
1112374,223485,334596
1112375,223486,334597
1112376,223487,334598
1112377,223488,334599
1112378,223489,334600
1112379,223490,334601
1112380,223491,334602
1112381,223492,334603
1112382,223493,334604
1112383,223494,334605
1112384,223495,334606
1112385,223496,334607
1112386,223497,334608
1112387,223498,334609
1112388,223499,334610
1112389,223500,334611
1112390,223501,334612
1112391,223502,334613
1112392,223503,334614
1112393,223504,334615
1112394,223505,334616
1112395,223506,334617
1112396,223507,334618
1112397,223508,334619
1112398,223509,334620
1112399,223510,334621
1112400,223511,334622
1112401,223512,334623
1112402,223513,334624
1112403,223514,334625
1112404,223515,334626
1112405,223516,334627
1112406,223517,334628
1112407,223518,334629
1112408,223519,334630
1112409,223520,334631
1112410,223521,334632
1112411,223522,334633
1112412,223523,334634
1112413,223524,334635
1112414,223525,334636
1112415,223526,334637
1112416,223527,334638
1112417,223528,334639
1112418,223529,334640
1112419,223530,334641
1112420,223531,334642
1112421,223532,334643
1112422,223533,334644
1112423,223534,334645
1112424,223535,334646
1112425,223536,334647
1112426,223537,334648
1112427,223538,334649
1112428,223539,334650
1112429,223540,334651
1112430,223541,334652
1112431,223542,334653
1112432,223543,334654
1112433,223544,334655
1112434,223545,334656
1112435,223546,334657
1112436,223547,334658
1112437,223548,334659
1112438,223549,334660
1112439,223550,334661
1112440,223551,334662
1112441,223552,334663
1112442,223553,334664
1112443,223554,334665
1112444,223555,334666
1112445,223556,334667
1112446,223557,334668
1112447,223558,334669
1112448,223559,334670
1112449,223560,334671
1112450,223561,334672
1112451,223562,334673
1112452,223563,334674
1112453,223564,334675
1112454,223565,334676
1112455,223566,334677
1112456,223567,334678
1112457,223568,334679
1112458,223569,334680
1112459,223570,334681
1112460,223571,334682
1112461,223572,334683
1112462,223573,334684
1112463,223574,334685
1112464,223575,334686
1112465,223576,334687
1112466,223577,334688
1112467,223578,334689
1112468,223579,334690
1112469,223580,334691
1112470,223581,334692
1112471,223582,334693
1112472,223583,334694
1112473,223584,334695
1112474,223585,334696
1112475,223586,334697
1112476,223587,334698
1112477,223588,334699
1112478,223589,334700
1112479,223590,334701
1112480,223591,334702
1112481,223592,334703
1112482,223593,334704
1112483,223594,334705
1112484,223595,334706
1112485,223596,334707
1112486,223597,334708
1112487,223598,334709
1112488,223599,334710
1112489,223600,334711
1112490,223601,334712
1112491,223602,334713
1112492,223603,334714
1112493,223604,334715
1112494,223605,334716
1112495,223606,334717
1112496,223607,334718
1112497,223608,334719
1112498,223609,334720
1112499,223610,334721
1112500,223611,334722
1112501,223612,334723
1112502,223613,334724
1112503,223614,334725
1112504,223615,334726
1112505,223616,334727
1112506,223617,334728
